MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z,MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z
0.0,0.0,0.0,-1.0,2.0,-3.0,-4.0,-5.0,-1.6846648,-1.5707964,-2.9881277,8.0,-444.0,1883.0,11.0,-19.0,1.0,1.0,0.0,-3.0,0.0,1.0,-3.0,-1.0,2.0,3.1404192,-1.5707964,2.8440566,1789.0,1.0,906.0,11.0,-26.0,14.0
-2.0,0.0,-2.0,2.0,1.0,0.0,-4.0,-1.0,-1.6845679,-1.5707964,-2.9880602,19.0,-435.0,1892.0,6.0,-18.0,2.0,1.0,0.0,-3.0,0.0,1.0,-3.0,-1.0,2.0,3.1404192,-1.5707964,2.8440566,1789.0,1.0,906.0,11.0,-26.0,14.0
0.0,-2.0,-3.0,-3.0,0.0,-4.0,2.0,1.0,-1.6846055,-1.5707964,-2.9880674,20.0,-444.0,1896.0,-4.0,-15.0,5.0,-1.0,4.0,1.0,1.0,8.0,-3.0,4.0,2.0,3.1404192,-1.5707964,2.8440566,1789.0,1.0,906.0,11.0,-26.0,14.0
0.0,-2.0,-3.0,-3.0,0.0,-4.0,2.0,1.0,-1.6846055,-1.5707964,-2.9880674,20.0,-444.0,1896.0,-4.0,-15.0,5.0,-1.0,4.0,1.0,1.0,8.0,-3.0,4.0,2.0,3.1402833,-1.5707964,2.8443112,1811.0,20.0,891.0,6.0,-27.0,11.0
-2.0,-1.0,-5.0,-1.0,2.0,-1.0,-1.0,-3.0,-1.6845853,-1.5707964,-2.988074,4.0,-446.0,1897.0,-13.0,-13.0,1.0,-4.0,-2.0,-2.0,-4.0,-15.0,-1.0,-5.0,-7.0,3.1402833,-1.5707964,2.8443112,1811.0,20.0,891.0,6.0,-27.0,11.0
-2.0,-1.0,-5.0,-1.0,2.0,-1.0,-1.0,-3.0,-1.6845853,-1.5707964,-2.988074,4.0,-446.0,1897.0,-13.0,-13.0,1.0,-4.0,-2.0,-2.0,-4.0,-15.0,-1.0,-5.0,-7.0,3.140244,-1.5707964,2.8443904,1801.0,-7.0,878.0,18.0,-19.0,2.0
-4.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-2.0,-1.684782,-1.5707964,-2.9879394,-2.0,-453.0,1886.0,-9.0,-25.0,9.0,-4.0,-6.0,-5.0,-11.0,-6.0,0.0,-1.0,0.0,3.140244,-1.5707964,2.8443904,1801.0,-7.0,878.0,18.0,-19.0,2.0
0.0,-1.0,-2.0,-1.0,-2.0,-2.0,-3.0,-1.0,-1.684782,-1.5707964,-2.9879394,-2.0,-453.0,1886.0,-9.0,-25.0,9.0,-1.0,1.0,2.0,1.0,-3.0,-2.0,1.0,-3.0,3.1403706,-1.5707964,2.8434482,1793.0,7.0,906.0,8.0,-16.0,22.0
4.0,-2.0,-1.0,1.0,1.0,1.0,1.0,-2.0,-1.6848444,-1.5707964,-2.98773,15.0,-434.0,1888.0,-1.0,-31.0,10.0,-1.0,1.0,2.0,1.0,-3.0,-2.0,1.0,-3.0,3.1403706,-1.5707964,2.8434482,1793.0,7.0,906.0,8.0,-16.0,22.0
-1.0,1.0,-1.0,0.0,-3.0,-1.0,1.0,-1.0,-1.6848444,-1.5707964,-2.98773,15.0,-434.0,1888.0,-1.0,-31.0,10.0,2.0,1.0,1.0,-2.0,-7.0,-3.0,0.0,-2.0,3.140732,-1.5707964,2.8431742,1802.0,-2.0,901.0,17.0,-23.0,16.0
-1.0,1.0,-1.0,0.0,-3.0,-1.0,1.0,-1.0,-1.6848834,-1.5707964,-2.9876566,33.0,-449.0,1897.0,3.0,-17.0,4.0,2.0,1.0,1.0,-2.0,-7.0,-3.0,0.0,-2.0,3.140732,-1.5707964,2.8431742,1802.0,-2.0,901.0,17.0,-23.0,16.0
1.0,0.0,-5.0,0.0,-1.0,-2.0,0.0,-1.0,-1.6848834,-1.5707964,-2.9876566,33.0,-449.0,1897.0,3.0,-17.0,4.0,-2.0,-2.0,-5.0,1.0,5.0,1.0,-4.0,0.0,3.1406672,-1.5707964,2.8432198,1792.0,-7.0,891.0,18.0,-27.0,0.0
-4.0,-2.0,-1.0,-1.0,-3.0,-2.0,1.0,4.0,-1.684863,-1.5707964,-2.9876633,12.0,-443.0,1891.0,1.0,-8.0,0.0,-2.0,-2.0,-5.0,1.0,5.0,1.0,-4.0,0.0,3.1406672,-1.5707964,2.8432198,1792.0,-7.0,891.0,18.0,-27.0,0.0
2.0,-4.0,-5.0,-2.0,-4.0,0.0,-2.0,1.0,-1.684863,-1.5707964,-2.9876633,12.0,-443.0,1891.0,1.0,-8.0,0.0,-7.0,-4.0,-6.0,1.0,1.0,-4.0,-3.0,-5.0,3.1413574,-1.5707964,2.8427227,1806.0,-13.0,888.0,5.0,-15.0,17.0
0.0,-1.0,-4.0,-4.0,-2.0,3.0,-1.0,-1.0,-1.6849393,-1.5707964,-2.987597,15.0,-441.0,1873.0,0.0,-19.0,1.0,-7.0,-4.0,-6.0,1.0,1.0,-4.0,-3.0,-5.0,3.1413574,-1.5707964,2.8427227,1806.0,-13.0,888.0,5.0,-15.0,17.0
-3.0,0.0,1.0,0.0,-2.0,2.0,1.0,1.0,-1.6849393,-1.5707964,-2.987597,15.0,-441.0,1873.0,0.0,-19.0,1.0,-1.0,0.0,-1.0,-1.0,3.0,2.0,2.0,-1.0,-3.1408236,-1.5707964,2.8420374,1807.0,-23.0,878.0,12.0,-11.0,22.0
-3.0,0.0,1.0,0.0,-2.0,2.0,1.0,1.0,-1.6850567,-1.5707964,-2.9875174,26.0,-441.0,1889.0,-7.0,-25.0,1.0,-1.0,0.0,-1.0,-1.0,3.0,2.0,2.0,-1.0,-3.1408236,-1.5707964,2.8420374,1807.0,-23.0,878.0,12.0,-11.0,22.0
2.0,0.0,-6.0,1.0,1.0,1.0,-8.0,-2.0,-1.6850567,-1.5707964,-2.9875174,26.0,-441.0,1889.0,-7.0,-25.0,1.0,3.0,-4.0,-1.0,1.0,-2.0,3.0,-1.0,-2.0,-3.1407511,-1.5707964,2.8419895,1795.0,-7.0,872.0,18.0,-16.0,8.0
3.0,3.0,-2.0,-2.0,-3.0,2.0,-5.0,-1.0,-1.6850567,-1.5707964,-2.9875174,20.0,-449.0,1898.0,-13.0,-14.0,0.0,3.0,-4.0,-1.0,1.0,-2.0,3.0,-1.0,-2.0,-3.1407511,-1.5707964,2.8419895,1795.0,-7.0,872.0,18.0,-16.0,8.0
1.0,-2.0,-2.0,0.0,-5.0,-4.0,2.0,0.0,-1.6850567,-1.5707964,-2.9875174,20.0,-449.0,1898.0,-13.0,-14.0,0.0,0.0,3.0,0.0,4.0,12.0,0.0,-2.0,-2.0,-3.1409886,-1.5707964,2.841807,1796.0,-3.0,874.0,26.0,-9.0,-2.0
